Bed_Number,beds_1A,gsize_1A,facies_1A,lith_1A,amal_1A,beds_1B,gsize_1B,facies_1B,lith_1B,amal_1B,beds_1C,gsize_1C,facies_1C,lith_1C,amal_1C,beds_2A,gsize_2A,facies_2A,lith_2A,amal_2A,beds_3A,gsize_3A,facies_3A,lith_3A,amal_3A,beds_3B,gsize_3B,facies_3B,lith_3B,amal_3B,beds_4A,gsize_4A,facies_4A,lith_4A,amal_4A,beds_5A,gsize_5A,facies_5A,lith_5A,amal_5A,beds_5B,gsize_5B,facies_5B,lith_5B,amal_5B,beds_5C,gsize_5C,facies_5C,lith_5C,amal_5C
62,,,,,,,,,,,35,4,4,1,0,,,,,,1,1,1,1,0,10,5,4,1,1,20,3,4,1,0,,,,,,,,,,,5,2,1,1,0
63,,,,,,,,,,,70,1,1,1,0,,,,,,14,3,4,1,0,10,5,4,1,1,9,5,3,1,0,,,,,,,,,,,8,5,3,1,0
64,,,,,,,,,,,22,3,4,1,0,,,,,,2,1,1,1,0,8,1,1,1,0,76,4,5,1,0,,,,,,,,,,,8,2,1,1,0
65,,,,,,,,,,,47,1,1,1,0,,,,,,5,3,3,1,0,9,4,3,1,0,18,4,4,1,1,,,,,,,,,,,5,4,3,1,0
66,,,,,,,,,,,19,2,1,1,0,,,,,,1,1,1,1,0,4,1,1,1,0,14,4,4,1,1,,,,,,,,,,,30,1,1,1,0
67,,,,,,,,,,,7,3,3,1,0,,,,,,11,3,4,1,1,21,4,4,1,0,8,4,3,1,1,,,,,,,,,,,4,4,3,1,0
68,,,,,,,,,,,10,2,1,1,0,,,,,,10,3,4,1,1,104,1,1,1,0,2,2,1,1,0,,,,,,,,,,,6,1,1,1,0
69,,,,,,,,,,,14,3,4,1,0,,,,,,12,4,4,1,1,20,5,4,1,0,8,3,3,1,0,,,,,,,,,,,3,3,3,1,0
70,,,,,,,,,,,6,2,1,1,0,,,,,,9,4,3,1,1,52,1,1,1,0,11,2,1,1,0,,,,,,,,,,,27,1,1,1,0
71,,,,,,,,,,,6,3,3,1,0,,,,,,193,2,1,1,0,10,5,4,1,0,22,2,1,1,0,,,,,,,,,,,2,3,3,1,0
72,,,,,,,,,,,10,2,1,1,0,,,,,,33,3,4,1,1,80,1,6,1,0,13,3,3,1,0,,,,,,,,,,,55,1,1,1,0
73,,,,,,,,,,,21,3,4,1,0,,,,,,24,3,4,1,1,10,5,4,1,0,11,4,4,1,0,,,,,,,,,,,2,5,3,2,0
74,,,,,,,,,,,78,1,1,1,0,,,,,,2,1,1,1,0,52,1,6,1,0,4,3,3,1,1,,,,,,,,,,,3,1,1,1,0
75,,,,,,,,,,,27,2,1,1,0,,,,,,12,4,4,1,0,11,4,4,1,0,6,3,3,1,1,,,,,,,,,,,3,5,3,2,0
76,,,,,,,,,,,13,3,4,1,0,,,,,,2,1,1,1,0,500,5,7,2,0,1,2,1,1,0,,,,,,,,,,,6,1,1,1,0
77,,,,,,,,,,,30,4,4,1,0,,,,,,20,3,3,1,0,,,,,,12,3,4,1,0,,,,,,,,,,,2,4,3,2,0
78,,,,,,,,,,,46,1,1,1,0,,,,,,47,7,4,2,0,,,,,,3,4,3,1,0,,,,,,,,,,,7,1,1,1,0
79,,,,,,,,,,,47,2,1,1,0,,,,,,32,3,4,1,0,,,,,,7,4,3,1,0,,,,,,,,,,,7,4,3,2,0
80,,,,,,,,,,,20,3,4,1,0,,,,,,1,4,3,2,0,,,,,,24,2,1,1,0,,,,,,,,,,,33,2,1,1,0
81,,,,,,,,,,,15,2,1,1,0,,,,,,10,2,1,1,0,,,,,,9,3,3,1,0,,,,,,,,,,,6,3,3,1,0
82,,,,,,,,,,,26,1,1,1,0,,,,,,1,4,3,2,0,,,,,,8,3,3,1,0,,,,,,,,,,,350,3,7,2,0
83,,,,,,,,,,,26,2,1,1,0,,,,,,26,3,3,1,0,,,,,,9,3,3,1,0,,,,,,,,,,,53,1,1,1,0
84,,,,,,,,,,,78,1,1,1,0,,,,,,20,1,1,1,0,,,,,,3,1,1,1,0,,,,,,,,,,,6,3,3,1,0
85,,,,,,,,,,,33,2,1,1,0,,,,,,95,2,1,1,0,,,,,,10,3,4,1,0,,,,,,,,,,,32,2,1,1,0
