Bed_Number,beds_1A,gsize_1A,amal_1A,beds_1B,gsize_1B,amal_1B,beds_1C,gsize_1C,amal_1C,beds_2A,gsize_2A,amal_2A,beds_3A,gsize_3A,amal_3A,beds_3B,gsize_3B,amal_3B,beds_4A,gsize_4A,amal_4A
212,,,,,,,,,,,,,5,4,0,,,,10,4,0
213,,,,,,,,,,,,,1,1,0,,,,3,6,0
214,,,,,,,,,,,,,0.5,4,0,,,,31,4,0
215,,,,,,,,,,,,,2,1,0,,,,0.5,6,0
216,,,,,,,,,,,,,3,4,0,,,,48,4,0
217,,,,,,,,,,,,,1,1,0,,,,2,6,0
218,,,,,,,,,,,,,2,4,0,,,,19,2,0
219,,,,,,,,,,,,,1,1,0,,,,15,4,0
220,,,,,,,,,,,,,1.5,4,0,,,,13,4,0
221,,,,,,,,,,,,,2,1,0,,,,3,6,0
222,,,,,,,,,,,,,5.5,4,0,,,,33,2,0
223,,,,,,,,,,,,,15,1,0,,,,13,4,0
224,,,,,,,,,,,,,11,3,0,,,,75,2,0
225,,,,,,,,,,,,,41,1,0,,,,2,6,0
226,,,,,,,,,,,,,21,5,1,,,,13,3,0
227,,,,,,,,,,,,,3,5,1,,,,12,2,0
228,,,,,,,,,,,,,84,1,0,,,,0.5,6,0
229,,,,,,,,,,,,,32,5,1,,,,11,2,0
230,,,,,,,,,,,,,34,3,1,,,,4,4,0
231,,,,,,,,,,,,,43,1,0,,,,5,6,0
232,,,,,,,,,,,,,1.5,5,0,,,,13,2,0
233,,,,,,,,,,,,,50,1,0,,,,8,6,0
234,,,,,,,,,,,,,1.5,4,0,,,,609,10,0
235,,,,,,,,,,,,,10,1,0,,,,5.2,6,0
236,,,,,,,,,,,,,36,3,1,,,,52,2,0
237,,,,,,,,,,,,,31,3,1,,,,7,3,0
238,,,,,,,,,,,,,16,3,1,,,,3,6,0
239,,,,,,,,,,,,,15,3,1,,,,5,2,0
240,,,,,,,,,,,,,8,3,1,,,,9,3,1
241,,,,,,,,,,,,,47,1,0,,,,7,3,1
242,,,,,,,,,,,,,1.5,4,0,,,,3,3,1
243,,,,,,,,,,,,,5,1,0,,,,4,3,1
244,,,,,,,,,,,,,9,2,0,,,,1,6,1
245,,,,,,,,,,,,,2,1,0,,,,14,3,0
246,,,,,,,,,,,,,40,4,0,,,,6,6,0
247,,,,,,,,,,,,,20,5,0,,,,39,3,0
248,,,,,,,,,,,,,22,1,0,,,,2,6,0
249,,,,,,,,,,,,,1,5,0,,,,22,3,0
250,,,,,,,,,,,,,3,1,0,,,,7,2,0
251,,,,,,,,,,,,,4,5,0,,,,1,6,0
252,,,,,,,,,,,,,20,1,0,,,,47,3,0
253,,,,,,,,,,,,,37,2,0,,,,1,6,0
254,,,,,,,,,,,,,70,2,0,,,,10,2,0
255,,,,,,,,,,,,,11,3,0,,,,10,4,0
256,,,,,,,,,,,,,10,2,0,,,,4,6,0
257,,,,,,,,,,,,,4,3,0,,,,20,2,0
258,,,,,,,,,,,,,42,5,0,,,,1,6,0
259,,,,,,,,,,,,,11,1,0,,,,51,2,0
260,,,,,,,,,,,,,36,3,0,,,,6,4,0
261,,,,,,,,,,,,,5,1,0,,,,11,2,0
262,,,,,,,,,,,,,36,3,0,,,,1,6,0
263,,,,,,,,,,,,,5,1,0,,,,2,2,0
264,,,,,,,,,,,,,26,4,0,,,,8,4,0
265,,,,,,,,,,,,,36,1,0,,,,106,10,0
266,,,,,,,,,,,,,8,3,0,,,,5,6,0
267,,,,,,,,,,,,,0.5,1,0,,,,16,2,0
268,,,,,,,,,,,,,13,3,0,,,,28,4,0
269,,,,,,,,,,,,,3,1,0,,,,9,3,0
270,,,,,,,,,,,,,7,3,0,,,,22,2,0
271,,,,,,,,,,,,,140,1,0,,,,8,3,0
272,,,,,,,,,,,,,5,3,0,,,,80,2,0
273,,,,,,,,,,,,,1.5,5,0,,,,38,3,1
274,,,,,,,,,,,,,33,3,0,,,,4,6,1
275,,,,,,,,,,,,,50,1,0,,,,6,2,0
276,,,,,,,,,,,,,9,3,0,,,,37,4,1
277,,,,,,,,,,,,,0.5,5,0,,,,48,5,1
278,,,,,,,,,,,,,7,3,0,,,,20,2,0
279,,,,,,,,,,,,,0.5,5,0,,,,23,4,0
280,,,,,,,,,,,,,10,3,0,,,,14,4,0
281,,,,,,,,,,,,,30,1,0,,,,14,4,0
282,,,,,,,,,,,,,2,6,0,,,,1,6,0
283,,,,,,,,,,,,,71,3,0,,,,7,3,0
284,,,,,,,,,,,,,14,2,0,,,,25,4,0
